location_name,country,latitude,longitude,timestamp,temperature,humidity,wind_speed,pressure,precipitation,sensor_id
Accra,Ghana,5.55,-0.22,2024-09-19 10:45:00,26.9,71,16.2,1014.0,0.05,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-09-20 10:45:00,29.4,66,13.7,1014.0,0.11,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-09-21 10:45:00,29.2,70,9.7,1013.0,0.0,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-09-22 10:30:00,26.8,74,15.1,1013.0,0.0,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-09-23 09:45:00,27.2,84,18.0,1014.0,0.04,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-09-24 09:45:00,25.4,76,10.8,1014.0,0.03,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-09-25 09:30:00,25.3,94,9.7,1014.0,0.05,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-09-26 09:30:00,27.2,84,12.6,1015.0,0.0,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-09-27 10:00:00,28.3,74,11.9,1015.0,0.06,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-09-28 10:00:00,28.0,74,13.7,1014.0,0.02,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-09-29 09:30:00,27.2,74,9.4,1015.0,0.01,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-09-30 09:30:00,28.3,74,12.2,1013.0,0.0,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-10-01 10:00:00,26.2,89,15.8,1013.0,0.0,Accra_Ghana
Accra,Ghana,5.55,-0.22,2024-10-02 09:30:00,27.4,84,15.1,1012.0,0.01,Accra_Ghana
Accra,Ghana,5.55,-0.2167,2024-10-03 09:30:00,28.0,74,16.2,1013.0,0.0,Accra_Ghana
Accra,Ghana,5.55,-0.2167,2024-10-04 09:45:00,26.9,73,20.5,1013.0,0.0,Accra_Ghana
Accra,Ghana,5.55,-0.2167,2024-10-05 09:30:00,25.2,94,15.5,1014.0,0.16,Accra_Ghana
Accra,Ghana,5.55,-0.2167,2024-10-06 09:15:00,25.3,94,11.5,1014.0,0.0,Accra_Ghana
Accra,Ghana,5.55,-0.2167,2024-10-07 09:45:00,27.0,84,4.3,1015.0,0.0,Accra_Ghana
Accra,Ghana,5.55,-0.2167,2024-10-08 09:45:00,24.7,86,6.8,1016.0,0.2,Accra_Ghana
Accra,Ghana,5.55,-0.2167,2024-10-09 09:45:00,28.1,79,4.0,1015.0,0.0,Accra_Ghana
Accra,Ghana,5.55,-0.2167,2024-10-10 09:45:00,27.0,73,6.5,1014.0,0.02,Accra_Ghana
Accra,Ghana,5.55,-0.2167,2024-10-11 09:45:00,28.3,79,10.4,1015.0,0.03,Accra_Ghana
Accra,Ghana,5.55,-0.2167,2024-10-12 09:45:00,27.1,84,16.2,1015.0,0.0,Accra_Ghana
Accra,Ghana,5.55,-0.2167,2024-10-13 09:30:00,24.3,94,17.3,1016.0,0.0,Accra_Ghana
Accra,Ghana,5.55,-0.2167,2024-10-14 09:30:00,27.3,79,6.1,1016.0,0.0,Accra_Ghana
Accra,Ghana,5.55,-0.2167,2024-10-15 09:30:00,26.8,72,9.0,1015.0,0.0,Accra_Ghana
Accra,Ghana,5.55,-0.2167,2024-10-16 09:30:00,29.0,70,10.4,1015.0,0.01,Accra_Ghana
Accra,Ghana,5.55,-0.2167,2024-10-17 09:30:00,26.2,94,10.4,1015.0,0.07,Accra_Ghana
Accra,Ghana,5.55,-0.2167,2024-10-18 09:30:00,26.1,78,10.1,1016.0,0.0,Accra_Ghana
Accra,Ghana,5.55,-0.2167,2024-10-19 09:30:00,26.7,74,14.0,1014.0,0.0,Accra_Ghana
Accra,Ghana,5.55,-0.2167,2024-10-20 09:30:00,28.2,79,15.1,1014.0,0.04,Accra_Ghana
Accra,Ghana,5.55,-0.2167,2024-10-21 09:15:00,28.3,79,11.9,1014.0,0.0,Accra_Ghana
Accra,Ghana,5.55,-0.2167,2024-10-22 09:15:00,28.2,79,11.5,1014.0,0.42,Accra_Ghana
Accra,Ghana,5.55,-0.2167,2024-10-23 09:15:00,28.3,79,10.1,1014.0,1.68,Accra_Ghana
Accra,Ghana,5.55,-0.2167,2024-10-24 09:15:00,28.2,79,13.3,1014.0,0.1,Accra_Ghana
Accra,Ghana,5.55,-0.2167,2024-10-25 09:15:00,28.1,79,17.3,1013.0,0.0,Accra_Ghana
Accra,Ghana,5.55,-0.2167,2024-10-26 09:15:00,28.1,84,13.3,1013.0,0.0,Accra_Ghana
Accra,Ghana,5.55,-0.2167,2024-10-27 09:15:00,29.0,79,7.6,1013.0,0.0,Accra_Ghana
Accra,Ghana,5.55,-0.2167,2024-10-28 09:15:00,29.0,79,12.6,1012.0,0.14,Accra_Ghana
